k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime,alpha,beta
10,1.1625,0.5,0.9065285712890747,"{0: 0.9065285712890747, 1: 0.859233340431586}",132.26622166046664,19.307034827012103,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.21875,0.5,0.973526223524549,"{0: 0.973526223524549, 1: 0.8908060146766503}",135.49721317814647,19.581021720019635,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.275,0.5,0.906797914503709,"{0: 0.906797914503709, 1: 0.8590509373096386}",132.2625191658502,19.975985682976894,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.33125,0.5,0.9265282786361677,"{0: 0.9265282786361677, 1: 0.8853836903178268}",134.07688224936908,19.35593760799384,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.3875,0.5,0.929214199394468,"{0: 0.929214199394468, 1: 0.8843309957447649}",134.08865273307444,20.34398979501566,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.44375,0.5,0.9256986399944326,"{0: 0.9256986399944326, 1: 0.8855801397598089}",134.0657548783861,20.11482385295676,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.5,0.5,0.9115686359731271,"{0: 0.9115686359731271, 1: 0.8579371973896707}",132.32536606329128,19.674571649055,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.05,0.5,0.8851657447807078,"{0: 0.8851657447807078, 1: 0.8207656985302887}",129.76053904625738,25.59891245997278,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.10625,0.5,0.929355876500353,"{0: 0.929355876500353, 1: 0.8409007548771825}",131.90505921868254,21.879129427019507,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.1625,0.5,0.8740895206379984,"{0: 0.8740895206379984, 1: 0.8116202162362441}",129.00411133571464,21.7796313809813,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.21875,0.5,0.8712297659538735,"{0: 0.8712297659538735, 1: 0.8120539201777629}",128.95331600048092,25.461592261039183,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.275,0.5,0.8740894842852106,"{0: 0.8740894842852106, 1: 0.811585900975013}",129.00200855764336,21.57554995099781,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.33125,0.5,0.8705393061252641,"{0: 0.8705393061252641, 1: 0.8121866448481726}",128.94191392494224,21.381506433011964,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.3875,0.5,0.8715029773042909,"{0: 0.8715029773042909, 1: 0.8118433774538899}",128.9500187617575,21.49300417804625,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.44375,0.5,0.9012575441160162,"{0: 0.9012575441160162, 1: 0.8330415768221677}",130.79806649177146,21.609044855984397,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,1.5,0.5,0.8755316023359758,"{0: 0.8755316023359758, 1: 0.815365091934567}",129.23530153068418,24.60505724500399,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.05,0.5,0.846984610697327,"{0: 0.846984610697327, 1: 0.7729818794302435}",126.2742617189422,24.30893418501364,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.10625,0.5,0.8610174846643966,"{0: 0.8610174846643966, 1: 0.7783821156982774}",126.92469824919029,23.18319152999902,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.1625,0.5,0.8535545938348789,"{0: 0.8535545938348789, 1: 0.7849246190035057}",127.07703618445704,23.952123423980083,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.21875,0.5,0.8481276184529448,"{0: 0.8481276184529448, 1: 0.7889691804386935}",127.14979253502644,23.111323112039827,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.275,0.5,0.8435767088093,"{0: 0.8435767088093, 1: 0.7751391216414689}",126.29897271034989,23.397265058010817,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.33125,0.5,0.853224419091675,"{0: 0.853224419091675, 1: 0.7854981027315838}",127.09787469736844,24.173588900011964,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.3875,0.5,0.848717924772433,"{0: 0.848717924772433, 1: 0.791879503904943}",127.3189089607376,23.428929384972434,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,1.44375,0.5,0.8612387674716976,"{0: 0.8612387674716976, 1: 0.778492270234711}",126.9376851171778,23.680116854025982,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
